TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number (age 18+),Estimated annual number (under age 18),"Estimated annual rate (age 18+) per 100,000 adults","Estimated annual rate (under age 18) per 100,000 children"
2012-2014,UHF42,209,4,Bensonhurst - Bay Ridge,4.8,2.1,2.7,4.7
2012-2014,UHF42,210,4,Coney Island - Sheepshead Bay,13.8,4.5,5.7,7.3
2012-2014,UHF42,211,4,Williamsburg - Bushwick,20.5,18.3,12.9,33.4
2012-2014,UHF42,301,4,Washington Heights,11.3,9.3,5.5,19.1
2012-2014,UHF42,302,4,Central Harlem - Morningside Heights,15.5,15.4,11.7,46.2
2012-2014,UHF42,303,4,East Harlem,12.5,11.7,14.2,47.3
2012-2014,UHF42,304,4,Upper West Side,5.9,3.1,3.1,9.1
2012-2014,UHF42,305,4,Upper East Side,2.5,2.5,1.3,7.6
2012-2014,UHF42,306,4,Chelsea - Clinton,4.7,1.6,3.4,13.3
2012-2014,UHF42,307,4,Gramercy Park - Murray Hill,2.1,1.0,1.7,9.0
2012-2014,UHF42,308,4,Greenwich Village - SoHo,0.7,0.5,0.9,5.4
2012-2014,UHF42,309,4,Union Square - Lower East Side,9.9,3.5,5.5,14.1
2012-2014,UHF42,310,4,Lower Manhattan,1.3,0.5,2.7,6.2
2012-2014,UHF42,401,4,Long Island City - Astoria,7.9,3.8,4.3,11.2
2012-2014,UHF42,402,4,West Queens,13.8,11.5,3.4,11.0
2012-2014,UHF42,403,4,Flushing - Clearview,5.8,4.0,2.6,8.8
2012-2014,UHF42,404,4,Bayside - Little Neck,1.5,1.4,2.0,8.3
2012-2014,UHF42,405,4,Ridgewood - Forest Hills,7.2,7.0,3.6,14.6
2012-2014,UHF42,406,4,Fresh Meadows,2.5,2.5,3.3,11.9
2012-2014,UHF42,407,4,Southwest Queens,8.6,11.2,4.1,18.1
2012-2014,UHF42,408,4,Jamaica,13.7,15.4,5.9,23.7
2012-2014,UHF42,409,4,Southeast Queens,6.2,10.1,3.9,24.7
2012-2014,UHF42,410,4,Rockaways,6.5,5.5,7.6,18.0
2012-2014,UHF42,501,4,Port Richmond,5.1,4.4,9.8,22.3
2012-2014,UHF42,502,4,Stapleton - St. George,8.4,4.8,8.6,17.3
2012-2014,UHF42,503,4,Willowbrook,2.5,1.3,3.6,7.1
